Date,County,Temperature,Precipitation,Region
2010-10,Alameda County,62.3,1.07,North
2010-10,Alpine County,45.4,7.55,North
2010-10,Amador County,60.2,5.55,Central
2010-10,Butte County,62.2,5.12,North
2010-10,Calaveras County,60.9,5.54,Central
2010-10,Colusa County,63,2.77,North
2010-10,Contra Costa County,63,1.24,South
2010-10,Del Norte County,54.6,8.22,North
2010-10,El Dorado County,56.2,8.22,North
2010-10,Fresno County,57.8,1.9,Central
2010-10,Glenn County,62.2,4.23,North
2010-10,Humboldt County,57,7.52,North
2010-10,Imperial County,74.6,0.89,South
2010-10,Inyo County,62,1.01,Central
2010-10,Kern County,63.7,1.05,Central
2010-10,Kings County,66.8,0.59,Central
2010-10,Lake County,58.9,7.19,North
2010-10,Lassen County,49.8,3.36,North
2010-10,Los Angeles County,62.6,1.88,South
2010-10,Madera County,58.3,2.56,Central
2010-10,Marin County,59,4,North
2010-10,Mariposa County,57,4.21,Central
2010-10,Mendocino County,58.2,9.35,North
2010-10,Merced County,65.6,0.83,Central
2010-10,Modoc County,49.7,2.53,North
2010-10,Mono County,45.5,3.38,Central
2010-10,Monterey County,61.7,1.06,Central
2010-10,Napa County,62.2,3.49,North
2010-10,Nevada County,54.8,8.59,North
2010-10,Orange County,65.5,2.04,South
2010-10,Placer County,56,8.07,North
2010-10,Plumas County,51,5.5,North
2010-10,Riverside County,69.2,1.03,South
2010-10,Sacramento County,64.7,1.73,North
2010-10,San Benito County,61.2,1.02,Central
2010-10,San Bernardino County,67.2,1.17,South
2010-10,San Diego County,63.8,2.62,South
2010-10,San Francisco County,60,1.93,North
2010-10,San Joaquin County,64.8,1.27,Central
2010-10,San Luis Obispo County,62.1,1.51,Central
2010-10,San Mateo County,60.1,1.5,North
2010-10,Santa Barbara County,60.7,2.14,South
2010-10,Santa Clara County,61.6,1.33,North
2010-10,Santa Cruz County,60.1,2.14,North
2010-10,Shasta County,57.4,5.4,North
2010-10,Sierra County,49.8,7.92,North
2010-10,Siskiyou County,51.5,5.07,North
2010-10,Solano County,63.7,1.64,North
2010-10,Sonoma County,60,5.43,North
2010-10,Stanislaus County,64.2,1.13,Central
2010-10,Sutter County,64.8,1.56,North
2010-10,Tehama County,60.4,4.69,North
2010-10,Trinity County,54.9,7.9,North
2010-10,Tulare County,56.8,1.92,Central
2010-10,Tuolumne County,52.1,7.42,Central
2010-10,Ventura County,59.8,2.44,South
2010-10,Yolo County,64.4,1.6,North
2010-10,Yuba County,63,5.09,North
2010-11,Alameda County,52.7,2.52,North
2010-11,Alpine County,34.2,3.8,North
2010-11,Amador County,47.7,3.99,Central
2010-11,Butte County,49.8,5.35,North
2010-11,Calaveras County,47.9,3.82,Central
2010-11,Colusa County,52.2,2.54,North
2010-11,Contra Costa County,52.8,2.06,South
2010-11,Del Norte County,44.1,11.89,North
2010-11,El Dorado County,44,5.03,North
2010-11,Fresno County,45.7,1.86,Central
2010-11,Glenn County,50.8,3.06,North
2010-11,Humboldt County,46,9.12,North
2010-11,Imperial County,62.7,0.21,South
2010-11,Inyo County,48.4,0.48,Central
2010-11,Kern County,50.9,0.78,Central
2010-11,Kings County,53,0.66,Central
2010-11,Lake County,48.1,5.14,North
2010-11,Lassen County,35.3,2.25,North
2010-11,Los Angeles County,53.8,1.29,South
2010-11,Madera County,46.2,2.34,Central
2010-11,Marin County,53,4.39,North
2010-11,Mariposa County,45.2,3.43,Central
2010-11,Mendocino County,47.6,6.68,North
2010-11,Merced County,53,1.18,Central
2010-11,Modoc County,34.7,2.1,North
2010-11,Mono County,34,1.48,Central
2010-11,Monterey County,52,1.96,Central
2010-11,Napa County,52.2,3.54,North
2010-11,Nevada County,42.4,5.95,North
2010-11,Orange County,60.6,1.19,South
2010-11,Placer County,44,5.35,North
2010-11,Plumas County,37.3,4.86,North
2010-11,Riverside County,58.1,0.64,South
2010-11,Sacramento County,52.7,2.11,North
2010-11,San Benito County,50.6,1.67,Central
2010-11,San Bernardino County,54.2,0.5,South
2010-11,San Diego County,55.4,1.19,South
2010-11,San Francisco County,54.7,2.89,North
2010-11,San Joaquin County,52.7,1.52,Central
2010-11,San Luis Obispo County,52,1.53,Central
2010-11,San Mateo County,53.3,3.16,North
2010-11,Santa Barbara County,53.1,1.65,South
2010-11,Santa Clara County,51.3,2.47,North
2010-11,Santa Cruz County,52.4,3.57,North
2010-11,Shasta County,44.3,5.36,North
2010-11,Sierra County,37.2,5.36,North
