MONTH,YEAR,REGION,Area,"Number of
Reservoirs","Total Capacity
 
 1000 AF","Hist Ave
 
 1000 AF","Previous year 
 
 1000 AF","Current year 
 
 1000 AF","% 
 
Ave","% 
 
Cap"
10,2010,North,NORTH COAST,6,3096.3,1917.7,1189.6,1860.1,97,60
10,2010,North,SAN FRANCISCO BAY,13,540.5,287.2,312,340.8,119,63
10,2010,Central,CENTRAL COAST,6,970.3,516.8,353.6,481.5,93,50
10,2010,South,SOUTH COAST,29,1973.8,1271.4,1127.9,1262.4,99,64
10,2010,North,SACRAMENTO,43,16001.1,9590.9,7228.3,10039.2,105,63
10,2010,Central,SAN JOAQUIN,34,11439.9,6118.4,5736.7,6931.6,113,61
10,2010,South,TULARE LAKE,6,2087.4,635.6,531,698.4,110,33
10,2010,North,NORTH LAHONTAN,5,1072,480,138.1,258.7,54,24
10,2010,South,SOUTH LAHONTAN,8,402.5,273,266.7,253.3,93,63
11,2010,North,NORTH COAST,6,3096.3,1920.5,1169.8,1892.7,99,61
11,2010,North,SAN FRANCISCO BAY,17,688,397.5,402.1,453.3,114,66
11,2010,Central,CENTRAL COAST,6,970.3,511.4,329.1,473.9,93,49
11,2010,South,SOUTH COAST,29,1973.8,1269.1,1122.7,1250.9,99,63
11,2010,North,SACRAMENTO,43,16001.1,9589.3,6831.4,9847.2,103,62
11,2010,Central,SAN JOAQUIN,34,11439.9,6222.6,5634.7,7199.2,116,63
11,2010,South,TULARE LAKE,6,2087.4,646.1,533.5,731.9,113,35
11,2010,North,NORTH LAHONTAN,5,1072,470.3,136.8,271.9,58,25
11,2010,South,SOUTH LAHONTAN,8,402.5,268.1,267.5,374.4,140,93
12,2010,North,NORTH COAST,6,3096.3,2019.6,1171.7,2135.8,106,69
12,2010,North,SAN FRANCISCO BAY,17,688,422.6,403,493.5,117,72
12,2010,Central,CENTRAL COAST,6,970.3,531.3,345,555.5,105,57
12,2010,South,SOUTH COAST,29,1973.8,1299.6,1179.4,1389.4,107,70
12,2010,North,SACRAMENTO,43,16001.1,9930.3,6794.9,11008.8,111,69
12,2010,Central,SAN JOAQUIN,34,11439.9,6445.4,5918.2,8206,127,72
12,2010,South,TULARE LAKE,6,2087.4,690,572.9,1098.4,159,53
12,2010,North,NORTH LAHONTAN,5,1072,482.5,136.6,382.9,79,36
12,2010,South,SOUTH LAHONTAN,8,402.5,265.2,276.6,285.2,108,71
1,2011,North,NORTH COAST,6,3096.3,2147.6,1436,2230.6,104,72
1,2011,North,SAN FRANCISCO BAY,17,688,466.6,482.5,485.4,104,71
1,2011,Central,CENTRAL COAST,6,970.3,589.8,483.8,615.6,104,63
1,2011,South,SOUTH COAST,29,1973.8,1366.3,1300.4,1466.1,107,74
1,2011,North,SACRAMENTO,43,16001.1,10675.9,8327.4,11176.4,105,70
1,2011,Central,SAN JOAQUIN,34,11439.9,6898.4,6436.5,8550.3,124,75
1,2011,South,TULARE LAKE,6,2087.4,768.4,650.6,1016.9,132,49
1,2011,North,NORTH LAHONTAN,5,1072,527.4,143.3,411.3,78,38
1,2011,South,SOUTH LAHONTAN,8,402.5,266.5,277,275.6,103,68
2,2011,North,NORTH COAST,6,3096.3,2258.1,1591.6,2315.5,103,75
2,2011,North,SAN FRANCISCO BAY,17,688,508.1,509,531.5,105,77
2,2011,Central,CENTRAL COAST,6,970.3,653.3,584.6,722.6,111,74
2,2011,South,SOUTH COAST,29,1973.8,1442.1,1393.2,1511.3,105,77
2,2011,North,SACRAMENTO,43,16001.1,11359.3,9603.1,11989.5,106,75
2,2011,Central,SAN JOAQUIN,34,11439.9,7175.7,6954.5,8684.6,121,76
2,2011,South,TULARE LAKE,6,2087.4,840.4,760.5,1008.4,120,48
2,2011,North,NORTH LAHONTAN,5,1072,551.4,165.4,449.2,81,42
2,2011,South,SOUTH LAHONTAN,8,402.5,266.5,285.7,292.3,110,73
3,2011,North,NORTH COAST,6,3096.3,2393.5,1728.1,2581,108,83
3,2011,North,SAN FRANCISCO BAY,17,688,528.6,535.8,590.1,112,86
3,2011,Central,CENTRAL COAST,6,970.3,699.6,648.5,886.5,127,91
3,2011,South,SOUTH COAST,29,1973.8,1511.6,1402.7,1605.7,106,81
3,2011,North,SACRAMENTO,43,16001.1,12345.8,10892.1,12968.6,105,81
3,2011,Central,SAN JOAQUIN,34,11439.9,7499.3,7577.6,9141.4,122,80
3,2011,South,TULARE LAKE,6,2087.4,906.3,867,1229.7,136,59
3,2011,North,NORTH LAHONTAN,5,1072,572.7,186,551.7,96,51
3,2011,South,SOUTH LAHONTAN,8,402.5,265.5,283.5,291.6,110,72
4,2011,North,NORTH COAST,6,3096.3,2489.9,1947.3,2779.6,112,90
4,2011,North,SAN FRANCISCO BAY,17,688,531.9,556.9,556.3,105,81
4,2011,Central,CENTRAL COAST,6,970.3,710.4,683.1,898.1,126,93
4,2011,South,SOUTH COAST,29,1973.8,1527.4,1388.7,1634.4,107,83
4,2011,North,SACRAMENTO,43,16001.1,13154.6,12649.8,14147,108,88
4,2011,Central,SAN JOAQUIN,34,11439.9,7742.6,7839.3,8940.5,115,78
4,2011,South,TULARE LAKE,6,2087.4,1049.7,1100.5,1193.1,114,57
4,2011,North,NORTH LAHONTAN,5,1072,610.3,242.5,640.1,105,60
4,2011,South,SOUTH LAHONTAN,8,402.5,260.1,269.1,274.9,106,68
5,2011,North,NORTH COAST,6,3096.3,2591.1,1988.8,2728.1,105,88
5,2011,North,SAN FRANCISCO BAY,17,688,515.3,589.4,537.9,104,78
5,2011,Central,CENTRAL COAST,6,970.3,693.3,676.6,891.5,129,92
5,2011,South,SOUTH COAST,29,1973.8,1514.5,1371.8,1605.3,106,81
5,2011,North,SACRAMENTO,43,16001.1,13652.6,13543.5,14848.5,109,93
5,2011,Central,SAN JOAQUIN,34,11439.9,8303.6,8000.8,9297.9,112,81
5,2011,South,TULARE LAKE,6,2087.4,1357.5,1297.4,1358.2,100,65
5,2011,North,NORTH LAHONTAN,5,1072,662.7,318.4,751.7,113,70
5,2011,South,SOUTH LAHONTAN,8,402.5,267.8,261.4,266,99,66
6,2011,North,NORTH COAST,6,3096.3,2500.7,2225.5,2874.1,115,93
6,2011,North,SAN FRANCISCO BAY,17,688,494.3,525.1,530.3,107,77
6,2011,Central,CENTRAL COAST,6,970.3,662.2,637.7,877.4,132,90
6,2011,South,SOUTH COAST,29,1973.8,1472.8,1346.9,1586.8,108,80
6,2011,North,SACRAMENTO,43,16001.7,13059,13810.9,15174.1,116,95
6,2011,Central,SAN JOAQUIN,34,11440.4,8301.2,8977.5,10622.3,128,93
6,2011,South,TULARE LAKE,6,2087.4,1360.7,1698.4,1788.2,131,86
6,2011,North,NORTH LAHONTAN,5,1072,683.4,442.8,947.5,139,88
6,2011,South,SOUTH LAHONTAN,8,402.5,297.8,298.5,301.2,101,75
